Title,Price,Rating,Product Link,Image URL
"Apple MacBook Pro MTL73 M3 Chip 2.75 to 4.05GHz, 8GB RAM, 512GB SSD, 14.2 Inch Liquid Retina XDR Laptop (Late 2023)","৳ 297,000",Chattogram,https://www.daraz.com.bd//www.daraz.com.bd/products/apple-macbook-pro-mrx33-m3-pro-chip-28-to-406ghz-18gb-ram-512gb-ssd-142-inch-liquid-retina-xdr-laptop-late-2023-i352666243.html,No image
"HP OMEN Core i7 13th Gen RTX 4060 16.1"" 165Hz Gaming Laptop [16GB/1TB]","৳ 149,999",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/hp-omen-core-i7-13th-gen-rtx-4060-161-hz-16gb1tb-i526035078.html,No image
"ASUS Vivobook X515MA (BQ675W) Intel Celeron N4020 1.10 to 2.8 GHz, 4GB, 1TB HDD, Win-11, 15.6-Inch FHD Laptop","৳ 37,500",Chattogram,https://www.daraz.com.bd//www.daraz.com.bd/products/asus-vivobook-x515ma-bq675w-intel-celeron-n4020-110-to-28-ghz-4gb-1tb-hdd-win-11-156-inch-fhd-laptop-i473033145.html,No image
"MSI Modern 15 F13MG Intel Core i3-1315U 3.3GHz to 4.5GHz, 8GB 3200MHz, 512GB Gen4 NVMe SSD, 15.6 Inch FHD IPS Laptop","৳ 60,500",Chattogram,https://www.daraz.com.bd//www.daraz.com.bd/products/msi-modern-15-f13mg-intel-core-i3-1315u-33ghz-to-45ghz-8gb-3200mhz-512gb-gen4-nvme-ssd-156-inch-fhd-ips-laptop-i525778351.html,No image
Chuwi GemiBook Plus Intel Celeron N100 15.6 inch Full HD Laptop,"৳ 32,500",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/chuwi-n100-156-hd-i332302715.html,No image
"Laptop lititude Model 3310 core i3 gen8 Ram 8gb ssd 128gb display 14"" (used)","৳ 25,500",Rajshahi,https://www.daraz.com.bd//www.daraz.com.bd/products/i3-gen8-ram-8gb-ssd-128gb-14-i325048276.html,No image
Chuwi GemiBook X Pro Intel Celeron N100 14.1 inch Full HD Laptop,"৳ 32,000",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/chuwi-gemibook-xpro-intel-n100-141-hd-i332314519.html,No image
"ASUS TUF Gaming F15 FX507ZC4 Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","৳ 111,499",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/asus-tuf-f15-fx507zc4-i5-12th-gen-rtx-3050-4gb-156-fhd-i393349406.html,No image
Asus Vivobook Pro 15 OLED Q543 Core Ultra 9 RTX 3050 24GB RAM 2TB SSD Laptop,"৳ 187,000",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/asus-vivobook-pro-15-oled-q543-9-rtx-3050-24gb-ram-2tb-ssd-i526067958.html,No image
Hp elightbook 840 G3 Laptop gen 6th ram 8gb core i5  Ssd 256 gb full fresh and  fast laptop ..7 days garanty..1 years servise warranty  (used),"৳ 23,990",Rajshahi,https://www.daraz.com.bd//www.daraz.com.bd/products/hp-elighbook-840-g3-gen-6th-ram-8gb-core-i5-ssd-256-gb-7-1-i323885381.html,No image
Apple MacBook Pro 2023 | 14-inch Liquid Retina XDR display | Apple M3 | 11-core CPU | 14-core GPU | 18GB Ram | 512GB SSD,"৳ 280,999",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/apple-macbook-pro-2023-14-inch-liquid-retina-xdr-display-apple-m3-11-core-cpu-14-core-gpu-18gb-ram-512gb-ssd-i347603764.html,No image
"Dell Alienware X16 R2 Core Ultra 9 RTX 4070 32GB RAM 1TB SSD 16"" Gaming Laptop","৳ 411,499",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/dell-alienwear-x16-r2-9-rtx-4070-32gb-ram-1tb-ssd-16-i526742121.html,No image
"Hp Laptop G3 840 Ram 8gb ssd 256 gb 6th gen 14"" display akdom full fresh ( used)","৳ 22,559",Rajshahi,https://www.daraz.com.bd//www.daraz.com.bd/products/hp-g3-840-ram-8gb-ssd-256-gb-6th-gen-14-akdom-i323881491.html,No image
Chuwi GemiBook XPro Intel Celeron N100 14.1 inch Full HD Laptop,"৳ 32,000",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/chuwi-gemibook-xpro-intel-n100-141-hd-i332445535.html,No image
MacBook Air 13.6’’ 2022 M2 (8/256GB),"৳ 104,999",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/macbook-air-136-2022-m2-8256gb-i345864354.html,No image
Chuwi GemiBook Plus Intel Celeron N100 15.6 Inch Full HD Gray Laptop,"৳ 32,500",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/chuwi-n100-156-hd-i332441110.html,No image
(used) Appel Macbook Air 2014 Core i5 Ram 4gb ssd 128gb Full Fresh conditions and khubi smooth (used),"৳ 37,500",Rajshahi,https://www.daraz.com.bd//www.daraz.com.bd/products/macbook-air-2014-core-i5-ram-4gb-ssd-128gb-i328066872.html,No image
CHUWI HeroBook Pro Intel Celeron N4020 14.1 inch Laptop 8G+256G Gray color two years warranty,"৳ 27,500",Dhaka,https://www.daraz.com.bd//www.daraz.com.bd/products/chuwi-n4020-141-8g-256g-i332448641.html,No image
